                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.38881,                 0.3349,                0.88356,                0.94549,                0.93762,                0.97353,                0.94469,                0.21265,                0.26429,                0.78959,               0.001882,               0.001882,               0.001882
                     84,                 0.3875,                0.32903,                0.88271,                0.94223,                0.94111,                0.97347,                0.94476,                0.21225,                0.26404,                0.78934,               0.001783,               0.001783,               0.001783
                     85,                 0.3852,                0.32488,                0.88269,                0.94239,                0.94152,                0.97347,                0.94488,                0.21206,                0.26367,                0.78923,               0.001684,               0.001684,               0.001684
                     86,                 0.3812,                0.31887,                0.88126,                0.94151,                0.94261,                0.97346,                0.94493,                0.21177,                 0.2632,                0.78901,               0.001585,               0.001585,               0.001585
                     87,                0.38127,                0.31918,                0.88009,                0.94182,                0.94277,                0.97341,                0.94508,                 0.2114,                0.26314,                0.78883,               0.001486,               0.001486,               0.001486
                     88,                0.37809,                 0.3134,                0.87882,                0.94175,                0.94394,                0.97341,                0.94521,                0.21114,                0.26252,                0.78863,               0.001387,               0.001387,               0.001387
                     89,                0.37778,                0.30967,                0.87947,                0.94217,                0.94325,                0.97329,                0.94537,                 0.2109,                0.26261,                0.78846,               0.001288,               0.001288,               0.001288
                     90,                0.25208,                0.20812,                0.78953,                0.94428,                0.94247,                0.97325,                0.94526,                0.21067,                0.26224,                 0.7882,               0.001189,               0.001189,               0.001189
                     91,                0.24918,                0.20088,                0.78685,                0.94471,                0.94213,                0.97325,                0.94522,                0.21042,                0.26215,                0.78805,                0.00109,                0.00109,                0.00109
                     92,                0.24636,                0.19684,                0.78723,                 0.9445,                0.94208,                0.97313,                0.94524,                0.21017,                0.26211,                0.78789,               0.000991,               0.000991,               0.000991
                     93,                0.24427,                0.19175,                0.78606,                0.94482,                0.94155,                0.97311,                0.94551,                0.20985,                0.26226,                0.78772,               0.000892,               0.000892,               0.000892
                     94,                 0.2415,                0.18596,                0.78452,                0.94633,                0.94131,                0.97309,                0.94557,                 0.2096,                0.26181,                0.78757,               0.000793,               0.000793,               0.000793
                     95,                0.23888,                0.18244,                0.78368,                0.94502,                0.94144,                0.97298,                0.94547,                 0.2094,                0.26183,                0.78739,               0.000694,               0.000694,               0.000694
                     96,                0.23744,                0.17681,                0.78275,                0.94657,                0.94028,                0.97287,                0.94537,                0.20916,                0.26186,                0.78727,               0.000595,               0.000595,               0.000595
                     97,                0.23523,                0.17338,                0.78215,                0.94695,                0.94089,                0.97271,                0.94549,                0.20887,                0.26237,                0.78714,               0.000496,               0.000496,               0.000496
                     98,                0.23327,                0.16798,                0.78234,                0.94696,                0.94213,                0.97249,                0.94539,                0.20865,                0.26266,                0.78702,               0.000397,               0.000397,               0.000397
                     99,                0.23115,                0.16455,                0.78196,                0.94713,                0.94243,                0.97229,                0.94541,                0.20841,                0.26243,                0.78673,               0.000298,               0.000298,               0.000298
